date,open,high,low,close,volume
2021-12-21,46.25,48.4,46.25,48.0,37112
2021-12-22,49.85,50.4,49.8,50.4,47013
2021-12-23,52.9,52.9,51.9,52.9,38527
2021-12-24,55.5,55.5,50.3,50.3,36035
2021-12-27,51.5,52.7,47.8,48.75,24714
2021-12-28,47.45,50.8,46.55,49.55,21105
2021-12-29,51.7,51.7,47.95,48.55,20873
2021-12-30,50.9,50.9,46.25,46.35,17216
2021-12-31,44.4,48.65,44.4,48.65,34232
2022-01-03,51.0,51.05,49.05,51.05,26575
2022-01-04,53.4,53.6,51.4,53.6,29025
2022-01-05,56.25,56.25,54.3,56.25,27638
2022-01-06,59.0,59.05,56.45,59.05,18663
2022-01-07,62.0,62.0,61.5,62.0,28155
2022-01-10,65.1,65.1,65.1,65.1,9817
2022-01-11,68.35,68.35,65.25,68.35,63415
2022-01-12,71.75,71.75,64.95,64.95,88681
2022-01-13,62.2,68.15,61.75,67.95,110302
2022-01-14,71.25,71.3,69.95,71.3,116166
2022-01-17,73.9,74.85,70.75,74.2,140156
2022-01-18,77.7,77.9,74.25,77.7,154077
2022-01-19,78.0,81.55,74.1,81.55,123219
2022-01-20,83.95,85.6,80.75,85.6,61083
2022-01-21,89.8,89.85,89.0,89.85,25169
2022-01-24,94.3,94.3,85.4,85.4,137726
2022-01-25,81.15,81.15,81.15,81.15,10470
2022-01-27,77.1,77.1,77.1,77.1,4138
2022-01-28,73.25,77.55,73.25,73.4,102582
2022-01-31,74.9,77.05,69.75,69.75,63613
2022-02-01,68.35,68.4,66.3,66.3,112519
2022-02-02,66.95,69.5,63.0,63.0,91575
2022-02-03,63.8,66.15,63.15,66.15,73760
2022-02-04,69.45,69.45,68.0,69.45,115975
2022-02-07,72.9,72.9,67.15,72.9,206994
2022-02-08,75.45,76.5,69.3,74.95,263861
2022-02-09,76.5,76.5,71.25,72.65,58212
2022-02-10,70.05,72.65,69.05,69.2,48255
2022-02-11,66.1,72.65,65.8,72.65,81417
2022-02-14,71.95,72.6,69.95,70.95,42535
2022-02-15,70.0,74.45,67.55,72.85,122209
2022-02-16,74.0,74.2,69.5,70.5,29422
2022-02-17,71.65,73.05,69.95,71.05,45250
2022-02-18,72.5,74.0,67.6,69.6,39281
2022-02-21,68.05,70.9,66.55,67.05,21870
2022-02-22,66.0,67.75,63.7,63.7,22094
2022-02-23,63.05,64.65,60.55,60.6,67086
2022-02-24,58.0,59.75,57.6,57.6,12543
2022-02-25,60.0,60.45,55.4,56.6,24147
2022-02-28,57.0,59.4,56.05,59.4,22731
2022-03-02,61.95,62.35,60.1,62.35,50485
2022-03-03,64.9,65.45,64.25,65.45,12900
2022-03-04,67.65,68.7,65.0,68.15,62633
2022-03-07,68.0,68.0,64.8,66.05,22819
2022-03-08,67.45,69.0,64.25,66.3,17457
2022-03-09,68.5,69.1,66.95,68.05,22915
2022-03-10,70.0,71.3,67.55,70.2,23604
2022-03-11,71.6,72.0,68.15,69.8,20073
2022-03-14,68.4,68.65,66.35,66.6,71891
2022-03-15,69.4,69.4,65.45,68.2,11235
2022-03-16,69.0,70.45,67.0,67.4,7649
2022-03-17,69.0,69.95,67.25,68.75,12364
2022-03-21,70.7,70.7,66.1,66.95,17877
2022-03-22,68.0,68.0,64.15,66.05,14607
2022-03-23,64.85,68.0,64.05,67.15,17330
2022-03-24,68.7,68.7,66.2,67.35,11257
2022-03-25,68.5,68.5,65.5,66.4,68826
2022-03-28,65.5,69.7,65.5,67.85,32742
2022-03-29,68.85,68.95,66.05,66.5,21925
2022-03-30,66.1,69.8,66.1,67.95,54300
2022-03-31,69.35,69.35,67.05,67.35,11851
2022-04-01,66.5,70.45,66.5,68.65,16901
