date,open,high,low,close,volume
2021-10-12,139.0,139.0,128.4,135.15,9841
2021-10-13,141.9,141.9,130.35,131.45,4005
2021-10-14,138.0,138.0,128.15,138.0,14409
2021-10-18,143.0,144.55,140.0,141.4,2254
2021-10-19,147.2,147.25,134.35,134.35,7594
2021-10-20,128.65,138.55,128.6,130.2,1501
2021-10-21,136.65,136.7,125.05,132.3,525
2021-10-22,138.9,138.9,130.2,134.4,408
2021-10-25,141.0,141.0,128.75,131.05,667
2021-10-26,131.1,137.55,130.0,136.5,470
2021-10-27,137.0,143.3,132.5,132.5,870
2021-10-28,138.85,139.1,127.0,128.1,12230
2021-10-29,133.95,134.5,126.2,134.5,8566
2021-11-01,138.0,138.0,128.45,131.85,7820
2021-11-02,131.8,135.95,128.6,135.65,1022
2021-11-03,130.0,142.4,129.3,138.15,2550
2021-11-04,142.5,142.5,131.65,132.2,434
2021-11-08,138.0,138.0,130.0,135.65,1165
2021-11-09,142.0,142.0,130.05,135.5,475
2021-11-10,130.55,139.55,130.55,138.8,12
2021-11-11,140.0,140.0,134.15,136.65,285
2021-11-12,140.0,140.0,131.25,134.9,1481
2021-11-15,139.5,139.5,130.5,135.0,746
2021-11-16,139.85,141.5,128.5,132.5,1418
2021-11-17,136.95,139.0,133.05,135.5,1405
2021-11-18,137.4,139.0,132.0,138.55,1665
2021-11-22,138.0,138.0,131.65,131.65,2294
2021-11-23,125.5,138.0,125.5,133.1,612
2021-11-24,138.45,138.5,129.0,131.55,177
2021-11-25,134.2,134.2,128.15,128.55,328
2021-11-26,128.55,132.95,122.5,124.1,1037
2021-11-29,118.75,128.95,118.3,123.0,1538
2021-11-30,128.95,129.15,124.9,129.15,1051
2021-12-01,129.5,132.95,123.15,129.1,422
2021-12-02,123.8,135.55,123.8,130.2,414
2021-12-03,129.95,132.4,126.35,129.9,448
2021-12-06,125.3,136.0,125.3,130.15,395
2021-12-07,131.0,136.5,127.0,133.0,430
2021-12-08,139.5,139.5,133.05,133.1,269
2021-12-09,134.05,138.5,127.55,134.8,1654
2021-12-10,128.15,136.2,128.15,135.3,127
2021-12-13,132.6,142.0,132.6,138.05,806
2021-12-14,138.3,138.9,131.6,133.9,381
2021-12-15,135.0,140.55,135.0,140.55,4398
2021-12-16,147.0,147.55,133.75,140.5,1914
2021-12-17,135.0,142.3,135.0,141.35,56
2021-12-20,141.35,141.35,134.3,134.3,536
2021-12-21,134.0,141.0,127.6,138.3,562
2021-12-22,138.25,145.2,135.15,140.15,547
2021-12-23,143.85,143.85,136.1,136.2,171
2021-12-24,130.05,143.0,130.05,134.2,336
2021-12-27,128.75,139.0,128.7,136.1,584
2021-12-28,142.75,142.9,133.05,138.1,4303
2021-12-29,135.05,142.0,135.0,140.25,862
2021-12-30,137.05,147.25,133.25,140.55,10611
2021-12-31,137.6,147.55,137.6,146.65,11540
2022-01-03,147.0,153.95,142.65,147.55,12994
2022-01-04,151.0,153.9,140.2,147.85,6722
2022-01-05,151.95,152.0,140.5,141.25,5328
2022-01-06,143.25,143.25,140.0,142.25,555
2022-01-07,145.0,145.9,140.2,141.8,9513
2022-01-10,145.0,146.0,134.95,140.45,8505
2022-01-11,144.45,144.5,134.2,135.45,5217
2022-01-12,132.4,137.8,130.5,132.2,7018
2022-01-13,134.9,137.5,129.6,130.2,10296
2022-01-14,134.45,136.0,127.15,134.9,2286
2022-01-17,129.15,140.95,129.15,136.05,19303
2022-01-18,142.85,142.85,130.0,131.4,16128
2022-01-19,134.9,134.9,128.55,130.85,26882
2022-01-20,130.1,133.9,130.1,132.0,28489
2022-01-21,133.9,133.9,129.0,131.6,12750
2022-01-24,133.0,133.0,126.1,126.7,13061
2022-01-25,129.95,129.95,124.5,126.3,12726
2022-01-27,120.3,130.7,120.0,120.55,15394
2022-01-28,121.1,122.0,114.55,114.7,99311
2022-01-31,115.0,120.4,110.4,113.8,8680
2022-02-01,118.95,118.95,112.0,113.15,14657
2022-02-02,117.0,118.8,113.0,113.85,9880
2022-02-03,114.05,119.5,114.05,118.25,22463
2022-02-04,118.2,119.5,115.45,116.65,8523
2022-02-07,117.9,124.1,116.0,116.4,5603
2022-02-08,121.1,121.1,114.6,119.4,3050
2022-02-09,121.0,121.0,116.0,117.45,9733
2022-02-10,115.1,119.1,115.1,115.9,9421
2022-02-11,120.5,120.5,110.1,112.45,21906
2022-02-14,112.45,120.0,109.7,112.7,59614
2022-02-15,117.1,117.6,107.9,109.0,58012
2022-02-16,116.45,116.75,105.0,106.9,28842
2022-02-17,110.85,117.55,106.85,110.45,23463
2022-02-18,111.9,120.9,111.9,114.8,18129
2022-02-21,114.8,119.1,106.45,109.85,4710
2022-02-22,111.9,114.5,105.8,108.5,5783
2022-02-23,110.7,113.45,104.0,106.8,4540
2022-02-24,108.9,108.9,100.05,100.7,4124
2022-02-25,107.05,108.4,97.0,101.95,7026
2022-02-28,105.0,108.1,102.5,104.15,3259
2022-03-02,107.1,107.1,101.8,103.95,4895
2022-03-03,107.0,107.0,98.6,100.2,5806
2022-03-04,105.0,105.0,92.0,95.5,6652
2022-03-07,103.0,103.0,92.0,101.7,2802
2022-03-08,103.2,111.85,100.25,110.95,4397
2022-03-09,112.0,119.0,108.1,115.45,4143
2022-03-10,118.9,126.95,112.05,115.2,5875
2022-03-11,125.1,125.1,116.95,123.3,8071
2022-03-14,129.0,129.0,122.9,123.2,5368
2022-03-15,117.6,129.3,117.55,121.4,3981
2022-03-16,126.95,127.0,121.95,123.85,2245
2022-03-17,127.6,127.6,118.9,120.5,3930
2022-03-21,126.4,126.4,120.05,120.9,803
2022-03-22,126.0,126.0,121.5,122.1,233
2022-03-23,120.0,124.55,119.05,120.5,582
2022-03-24,124.5,124.5,117.85,119.75,1138
2022-03-25,120.25,121.2,118.4,120.5,589
2022-03-28,122.95,122.95,118.0,120.05,3457
2022-03-29,122.05,122.1,116.95,117.9,876
2022-03-30,120.0,120.0,115.1,115.95,2006
2022-03-31,118.0,119.1,112.55,116.9,2047
2022-04-01,119.1,119.7,114.9,116.9,441
2022-04-04,120.9,120.9,115.3,119.95,836
2022-04-05,119.95,122.5,117.1,118.8,2828
2022-04-06,120.0,120.0,117.05,119.0,1716
2022-04-07,115.05,120.1,114.55,114.95,6029
2022-04-08,117.9,119.0,112.6,115.25,8486
2022-04-11,119.0,119.0,113.15,113.45,4005
2022-04-12,114.05,116.5,108.05,112.95,3522
2022-04-13,115.9,118.45,114.0,117.35,12886
2022-04-18,119.95,119.95,115.5,117.5,3692
2022-04-19,115.55,119.9,115.5,118.1,2905
