date,open,high,low,close,volume
2000-01-03,1800.0,1835.05,1760.0,1835.05,3024
2000-01-04,1960.0,1960.0,1763.0,1810.45,5787
2000-01-05,1845.0,1845.0,1740.0,1746.9,6105
2000-01-06,1750.0,1795.0,1735.0,1745.2,3472
2000-01-07,1705.0,1705.0,1605.6,1605.6,4125
2000-01-10,1650.0,1697.0,1478.0,1531.85,4378
2000-01-11,1522.0,1580.0,1410.05,1507.2,27648
2000-01-12,1471.0,1491.0,1386.65,1417.0,18892
2000-01-13,1400.0,1513.5,1361.0,1492.5,15735
2000-01-14,1475.0,1603.0,1470.0,1578.35,15237
2000-01-17,1670.0,1704.65,1605.0,1704.65,11777
2000-01-18,1700.0,1718.0,1615.0,1644.75,5519
2000-01-19,1710.0,1725.0,1650.0,1702.3,8012
2000-01-20,1709.0,1735.0,1666.0,1675.35,4694
2000-01-21,1749.95,1809.4,1730.0,1809.4,8753
2000-01-24,1954.15,1954.15,1877.5,1899.25,74934
2000-01-25,1875.0,1980.0,1821.0,1944.1,17777
2000-01-27,2085.0,2099.6,1847.0,1871.7,43935
2000-01-28,1900.0,1974.9,1855.0,1928.6,35944
2000-01-31,1980.0,2010.0,1890.0,1938.9,36041
2000-02-01,1970.0,2094.05,1950.0,2094.05,94932
2000-02-02,2261.6,2261.6,2211.6,2261.45,120840
2000-02-03,2280.0,2355.0,2149.0,2214.75,43938
2000-02-04,2260.0,2288.0,2105.0,2137.0,31300
2000-02-07,2110.05,2150.0,2091.05,2127.3,25827
2000-02-08,2121.0,2285.0,2102.0,2237.95,76199
2000-02-09,2347.0,2347.0,2149.0,2159.9,20902
2000-02-10,2249.0,2249.0,2126.0,2145.6,20578
2000-02-11,2215.0,2215.0,2080.0,2097.35,15271
2000-02-14,2135.0,2160.0,2062.0,2114.1,14338
2000-02-15,2070.0,2114.0,2000.0,2031.75,18423
2000-02-16,2095.0,2150.0,2029.0,2050.15,12620
2000-02-17,2095.0,2214.2,2095.0,2214.2,8705
2000-02-18,2391.35,2391.35,2391.35,2391.35,10463
2000-02-21,2547.0,2582.7,2410.0,2582.7,23980
2000-02-22,2570.0,2730.0,2475.0,2673.8,52616
2000-02-23,2760.0,2760.0,2551.05,2584.8,14540
2000-02-24,2625.0,2791.6,2550.0,2766.7,39485
2000-02-25,2975.0,2975.0,2621.0,2664.05,13417
2000-02-28,2575.0,2877.2,2575.0,2877.0,36175
2000-02-29,2949.0,3107.0,2647.0,2665.15,32870
2000-03-01,2610.0,2778.0,2452.0,2469.15,77208
2000-03-02,2500.0,2660.0,2421.0,2501.25,54930
2000-03-03,2500.0,2550.0,2301.15,2301.15,38611
2000-03-06,2272.0,2272.0,2117.1,2117.1,15333
2000-03-07,1947.75,2145.0,1947.75,2023.35,90428
2000-03-08,668.0,702.15,601.0,649.8,174191
2000-03-09,660.0,679.0,640.0,653.3,48937
2000-03-10,659.0,674.0,632.0,645.7,21170
2000-03-13,669.95,697.4,650.05,667.85,83668
2000-03-14,675.0,721.3,666.0,721.3,89529
2000-03-15,740.0,779.0,721.0,746.1,109605
2000-03-16,725.0,780.0,721.0,761.95,64039
2000-03-21,780.0,808.0,757.0,798.9,68143
2000-03-22,814.0,814.0,735.0,735.0,31993
2000-03-23,691.0,734.85,686.0,725.2,34219
2000-03-24,733.75,744.95,715.0,733.25,20792
2000-03-27,737.95,737.95,674.75,675.0,43828
2000-03-28,655.0,682.0,621.0,621.8,39284
2000-03-29,645.0,665.0,580.0,593.65,39876
2000-03-30,575.0,621.0,570.0,611.95,29482
2000-03-31,622.8,648.0,590.0,633.15,42475
2000-04-03,648.4,655.0,582.5,586.4,46561
2000-04-04,542.45,569.95,539.5,539.5,24108
2000-04-05,550.0,574.85,515.0,566.05,25392
2000-04-06,579.9,579.9,520.8,537.45,22518
2000-04-07,550.0,580.45,550.0,580.45,11727
2000-04-10,623.9,626.9,612.05,626.9,17832
2000-04-11,626.9,626.9,580.3,593.4,30774
2000-04-12,601.0,622.0,597.0,605.55,8674
2000-04-13,590.1,596.8,571.15,578.65,9316
2000-04-17,535.0,541.0,532.4,532.4,5525
2000-04-18,532.0,570.0,505.05,544.55,25070
2000-04-19,560.0,564.0,501.0,501.0,20499
2000-04-20,465.0,500.0,460.95,493.95,22067
2000-04-24,500.0,500.0,462.05,472.95,10177
2000-04-25,440.0,470.0,435.15,436.3,26508
2000-04-26,455.0,462.4,401.4,430.45,103142
2000-04-27,419.0,430.0,396.05,397.15,24553
2000-04-28,399.0,403.8,366.2,369.2,31828
2000-05-02,346.0,362.9,324.9,324.9,31937
2000-05-03,315.0,363.9,286.0,360.0,84885
2000-05-04,380.05,403.2,374.0,403.2,9087
2000-05-05,435.45,451.6,435.45,451.6,7661
2000-05-08,487.75,498.7,435.0,461.1,88054
2000-05-09,440.1,460.0,424.95,449.15,33879
2000-05-10,455.0,460.0,420.0,431.5,26471
2000-05-11,405.1,429.0,391.0,398.4,23616
2000-05-12,399.0,406.9,350.6,357.05,55361
2000-05-15,338.0,375.0,330.1,354.2,36434
2000-05-16,369.9,396.7,350.0,385.85,44650
2000-05-17,414.0,424.9,398.05,400.6,47641
2000-05-18,390.0,425.0,375.0,409.4,31842
2000-05-19,380.0,458.55,380.0,454.15,94132
2000-05-22,442.0,455.0,430.0,442.05,47903
2000-05-23,448.0,463.0,390.1,430.25,55318
2000-05-24,430.0,450.0,411.0,442.15,34034
2000-05-25,449.0,475.0,430.05,436.65,23425
2000-05-26,435.0,442.0,407.7,416.75,23415
2000-05-29,413.05,433.0,413.0,427.25,16817
2000-05-30,423.0,440.0,421.0,437.3,25289
2000-05-31,454.0,488.7,440.0,443.6,43797
2000-06-01,425.0,449.0,420.0,436.15,14460
2000-06-02,440.5,454.0,440.0,450.8,44987
2000-06-05,480.0,486.9,453.0,467.7,61957
2000-06-06,470.0,485.0,465.0,482.7,40578
2000-06-07,485.0,517.9,485.0,509.45,60112
2000-06-08,529.0,570.6,514.25,569.25,90577
2000-06-09,580.0,580.0,504.0,527.45,38815
2000-06-12,520.0,525.0,485.25,489.0,34688
2000-06-13,473.55,515.0,462.25,491.7,40783
2000-06-14,509.0,525.0,500.0,503.1,24103
2000-06-15,499.0,523.5,489.0,501.9,15831
2000-06-16,504.0,514.4,501.0,506.4,21068
2000-06-19,500.0,546.95,500.0,543.7,47330
2000-06-20,551.5,608.95,540.1,605.95,65857
2000-06-21,649.0,649.0,563.0,574.15,156400
2000-06-22,579.95,600.0,550.0,563.25,38719
2000-06-23,550.1,574.85,550.0,558.45,24369
