date,open,high,low,close,volume
2000-01-03,49.45,50.75,46.5,50.75,7600
2000-01-04,53.2,53.2,47.9,48.1,5000
2000-01-05,46.55,47.4,44.6,44.6,3500
2000-01-06,43.5,46.0,42.1,45.25,6200
2000-01-07,48.0,48.0,42.0,42.9,3500
2000-01-10,42.05,44.9,41.0,42.9,4700
2000-01-11,42.0,42.0,39.5,40.1,5500
2000-01-12,40.0,40.0,39.0,39.0,1000
2000-01-13,40.0,41.0,38.5,39.5,1000
2000-01-14,39.0,40.5,39.0,39.9,1700
2000-01-17,39.05,41.0,38.4,39.2,3100
2000-01-18,39.5,40.0,38.05,38.3,3000
2000-01-19,40.9,41.4,39.25,41.4,4500
2000-01-20,42.0,44.5,42.0,43.0,6400
2000-01-21,46.4,46.4,42.0,42.95,3100
2000-01-24,42.5,43.0,40.05,40.05,3100
2000-01-25,39.2,40.0,36.85,37.7,6400
2000-01-27,38.9,40.7,37.55,39.0,7600
2000-01-28,40.0,40.0,38.05,38.65,3700
2000-01-31,38.0,38.0,37.0,37.05,3500
2000-02-01,37.0,38.4,36.0,36.05,6300
2000-02-02,35.0,37.75,35.0,37.7,4000
2000-02-03,37.9,40.0,36.55,37.2,4800
2000-02-04,37.8,38.35,37.1,37.95,3000
2000-02-07,37.35,40.2,37.35,38.75,5400
2000-02-08,39.9,41.7,38.0,38.7,5100
2000-02-09,41.6,41.8,40.9,41.8,7100
2000-02-10,45.15,45.15,42.65,45.15,13200
2000-02-11,48.8,48.8,48.0,48.8,10700
2000-02-14,50.75,50.75,44.9,44.9,4800
2000-02-15,42.05,43.0,41.35,41.35,6200
2000-02-16,38.3,41.5,38.3,39.7,6000
2000-02-17,38.7,42.8,38.7,41.4,4600
2000-02-18,40.0,41.85,39.5,40.8,4200
2000-02-21,39.0,41.5,38.1,40.0,7300
2000-02-22,40.1,41.0,38.15,38.2,9500
2000-02-23,40.0,41.25,38.45,40.2,5900
2000-02-24,40.0,43.45,38.9,42.6,8500
2000-02-25,44.5,44.95,40.0,40.65,6200
2000-02-28,40.0,40.9,39.0,40.85,6300
2000-02-29,41.0,41.35,37.6,38.2,6400
2000-03-01,39.9,41.0,39.0,39.85,3700
2000-03-02,39.0,40.0,38.15,38.25,3900
2000-03-03,35.25,37.4,35.25,37.0,5600
2000-03-06,36.05,37.95,34.25,34.35,4400
2000-03-07,34.0,35.45,32.45,33.65,6300
2000-03-08,33.5,36.25,33.5,36.0,3300
2000-03-09,37.0,37.9,33.5,34.0,7100
2000-03-10,33.5,35.9,33.5,35.85,2100
2000-03-13,34.1,35.95,34.05,35.45,1600
2000-03-14,33.1,34.75,32.65,33.15,4400
2000-03-15,35.25,35.8,34.25,35.8,2700
2000-03-16,38.45,38.55,35.85,38.5,6100
2000-03-21,38.0,38.0,35.45,35.45,6000
2000-03-22,35.9,36.5,35.55,35.65,1300
2000-03-23,35.5,35.75,34.55,34.55,2600
2000-03-24,34.25,35.4,34.25,35.0,2900
2000-03-27,35.45,35.5,34.5,34.55,2700
2000-03-28,34.95,36.0,33.55,35.25,6400
2000-03-30,34.85,34.85,34.85,34.85,1000
2000-03-31,35.75,35.75,34.8,35.05,2400
2000-04-03,35.0,35.05,34.3,34.85,1600
2000-04-04,33.55,34.0,32.75,33.95,2300
2000-04-05,32.25,33.9,32.2,32.75,800
2000-04-06,34.25,34.9,30.15,30.85,6600
2000-04-07,31.5,33.0,31.5,33.0,2600
2000-04-10,34.8,34.8,32.2,33.65,800
2000-04-11,32.55,32.55,32.05,32.05,1500
2000-04-12,33.15,33.15,32.25,32.7,400
2000-04-13,32.25,32.5,32.25,32.45,1100
2000-04-17,33.1,33.4,32.4,32.9,1200
2000-04-18,32.05,32.5,30.5,32.4,4200
2000-04-19,32.05,33.9,32.05,32.6,1300
2000-04-20,32.25,32.25,32.0,32.0,1000
2000-04-24,33.9,33.95,30.5,30.7,2700
2000-04-25,30.55,31.9,30.05,30.55,4700
2000-04-26,32.5,32.5,32.0,32.0,300
2000-04-27,31.2,32.0,31.1,32.0,1000
2000-04-28,31.1,31.1,30.55,30.9,800
2000-05-02,29.25,30.5,29.2,30.1,3300
2000-05-03,29.95,31.85,29.95,30.05,700
2000-05-04,30.0,30.0,28.15,29.9,2400
2000-05-05,28.25,29.15,28.15,28.9,3800
2000-05-08,28.05,29.0,28.05,28.55,500
2000-05-09,28.3,30.8,28.25,30.8,1300
2000-05-10,31.0,33.2,31.0,31.6,1600
2000-05-11,30.85,31.95,30.5,30.55,2400
2000-05-12,30.0,30.5,30.0,30.5,300
2000-05-15,29.55,30.7,29.55,30.7,900
2000-05-16,30.95,31.0,29.35,29.35,3300
2000-05-17,30.0,31.0,30.0,30.0,2500
2000-05-18,29.05,30.0,29.0,29.45,2100
2000-05-19,28.55,30.0,28.55,29.55,3300
2000-05-22,28.6,28.75,28.5,28.5,1000
2000-05-23,28.75,29.5,28.2,29.0,2800
2000-05-24,28.9,29.5,28.65,29.4,1100
2000-05-25,28.6,29.95,28.6,28.7,1200
2000-05-26,29.35,30.0,29.35,30.0,1700
2000-05-29,29.8,29.8,29.3,29.8,1000
2000-05-30,29.7,30.0,29.7,30.0,600
2000-05-31,30.5,31.55,30.45,30.5,3400
2000-06-01,30.1,30.95,29.05,29.45,1400
