date,open,high,low,close,volume
2025-02-28,10.2,10.2,9.58,9.8,11157640
2025-03-03,10.0,11.6,9.07,9.82,6266019
2025-03-04,10.05,10.5,9.59,9.8,392425
2025-03-05,10.0,11.0,9.15,10.29,424717
2025-03-06,10.24,10.47,9.9,10.02,655884
2025-03-07,10.02,10.38,9.94,10.01,345005
2025-03-10,10.0,10.2,9.0,9.94,270021
2025-03-11,9.85,10.2,9.17,9.92,147090
2025-03-12,10.15,10.2,9.8,9.94,150548
2025-03-13,9.94,10.14,9.75,9.86,189737
2025-03-17,9.65,10.1,9.65,9.97,181632
2025-03-18,9.95,11.5,9.75,10.06,10564047
2025-03-19,10.5,10.5,9.86,10.21,248236
2025-03-20,10.01,11.28,10.0,10.4,523398
2025-03-21,10.44,10.53,10.21,10.41,391921
2025-03-24,10.6,11.5,10.3,10.7,438366
2025-03-25,10.9,11.38,10.33,10.52,433488
2025-03-26,10.73,10.75,10.4,10.42,228287
2025-03-27,10.59,10.59,10.11,10.46,94882
2025-03-28,10.67,10.97,10.25,10.45,246651
2025-04-01,10.25,10.7,10.21,10.33,218916
2025-04-02,10.54,10.54,10.26,10.37,182646
2025-04-03,10.29,10.47,10.1,10.37,228622
2025-04-04,10.21,10.49,10.14,10.18,222068
2025-04-07,10.0,12.45,9.55,10.94,979566
2025-04-08,10.8,10.8,9.95,10.09,907155
2025-04-09,10.06,10.44,9.92,9.99,224754
2025-04-11,10.0,10.4,10.0,10.12,391496
2025-04-15,10.32,10.45,10.13,10.37,342150
2025-04-16,10.59,10.59,10.32,10.43,225340
2025-04-17,10.64,10.7,10.36,10.59,293763
2025-04-21,10.69,10.84,10.55,10.79,526571
2025-04-22,10.9,11.0,10.55,10.77,257148
2025-04-23,10.95,10.95,10.71,10.85,428019
2025-04-24,10.7,11.05,10.7,10.81,295256
2025-04-25,11.05,11.05,10.6,10.69,343331
2025-04-28,10.6,10.92,10.4,10.85,350577
2025-04-29,11.0,11.0,10.65,10.8,5199408
2025-04-30,10.79,10.87,10.6,10.84,1297026
2025-05-02,10.97,10.97,10.64,10.79,342025
2025-05-05,10.76,10.94,10.75,10.9,217700
2025-05-06,11.0,11.04,10.75,10.81,172707
2025-05-07,10.76,10.85,10.61,10.81,226418
2025-05-08,11.03,11.03,10.68,10.73,114686
2025-05-09,10.52,10.85,9.8,10.6,147180
2025-05-12,10.66,11.1,10.65,11.07,377952
2025-05-13,10.85,12.0,10.85,10.98,320741
2025-05-14,11.1,11.2,10.81,11.01,212794
2025-05-15,11.23,11.23,10.85,11.17,251233
2025-05-16,11.33,11.34,11.12,11.2,289396
2025-05-19,11.37,11.37,11.12,11.2,421306
2025-05-20,11.42,11.42,11.01,11.05,216574
2025-05-21,11.16,11.16,10.96,11.09,211386
2025-05-22,11.09,11.18,10.91,11.01,290261
2025-05-23,11.0,11.2,10.9,11.12,234428
2025-05-26,11.23,11.24,11.12,11.18,189753
2025-05-27,11.26,11.26,11.09,11.12,173878
2025-05-28,11.2,11.25,11.02,11.13,292650
2025-05-29,11.4,11.4,11.0,11.15,234842
2025-05-30,11.26,11.26,11.07,11.1,182585
2025-06-02,11.15,11.26,11.04,11.15,178016
2025-06-03,11.26,11.26,11.02,11.08,288570
2025-06-04,10.8,11.3,10.8,11.02,140663
2025-06-05,11.2,11.2,10.9,11.13,469590
2025-06-06,11.18,11.29,11.11,11.25,291477
2025-06-09,11.53,11.53,11.18,11.34,222936
2025-06-10,11.62,11.62,11.26,11.38,274833
2025-06-11,11.43,11.45,11.31,11.35,157450
2025-06-12,11.43,11.44,11.16,11.24,324386
2025-06-13,11.2,11.2,11.03,11.17,193607
