date,open,high,low,close,volume
2000-01-03,429.9,438.3,425.0,438.3,101578
2000-01-04,437.5,440.0,420.05,437.15,126117
2000-01-05,420.1,447.9,412.0,439.6,163877
2000-01-06,449.9,474.8,449.9,474.8,44248
2000-01-07,472.0,512.8,472.0,512.8,188564
2000-01-10,553.8,553.85,475.0,501.95,368433
2000-01-11,497.0,497.0,462.0,474.3,196177
2000-01-12,465.0,472.0,437.0,458.45,68421
2000-01-13,460.0,475.0,442.0,452.35,103720
2000-01-14,460.0,460.0,416.2,434.95,93774
2000-01-17,434.0,453.5,434.0,450.9,122901
2000-01-18,451.0,457.2,426.0,431.3,85911
2000-01-19,445.0,450.0,410.0,418.95,309006
2000-01-20,428.0,435.0,422.0,425.55,215838
2000-01-21,425.0,425.0,405.5,409.45,107477
2000-01-24,412.0,422.9,412.0,415.15,118612
2000-01-25,405.0,416.0,381.95,389.7,225256
2000-01-27,396.9,414.8,388.0,397.65,333149
2000-01-28,400.0,410.0,383.0,385.4,388709
2000-01-31,388.0,390.0,370.0,384.5,286867
2000-02-01,381.0,381.0,365.0,365.75,349769
2000-02-02,377.0,379.85,366.5,369.1,258977
2000-02-03,379.0,379.0,369.0,375.55,127513
2000-02-04,380.0,380.0,371.95,373.55,95007
2000-02-07,377.0,377.0,366.5,373.3,149597
2000-02-08,378.0,403.2,373.0,401.95,348592
2000-02-09,424.85,434.1,404.0,407.4,372455
2000-02-10,404.0,415.0,397.0,401.1,184831
2000-02-11,395.0,400.5,375.0,386.05,232143
2000-02-14,390.0,398.0,363.6,368.8,147635
2000-02-15,360.15,367.9,346.2,355.7,273607
2000-02-16,365.0,370.0,360.0,365.5,114052
2000-02-17,362.0,368.8,352.0,357.4,81326
2000-02-18,353.0,363.7,329.0,345.7,339324
2000-02-21,339.0,345.0,318.05,318.05,93799
2000-02-22,308.05,311.9,292.65,292.75,305087
2000-02-23,302.95,302.95,281.0,285.1,292520
2000-02-24,289.9,293.0,278.05,284.05,202515
2000-02-25,284.9,306.8,284.0,304.35,300500
2000-02-28,312.0,328.7,312.0,328.7,104770
2000-02-29,340.0,355.0,309.0,323.8,518129
2000-03-01,317.0,330.0,305.0,321.5,65207
2000-03-02,330.0,347.25,330.0,347.25,176853
2000-03-03,349.0,375.05,339.0,371.2,289597
2000-03-06,375.1,385.0,360.1,370.45,150851
2000-03-07,372.0,375.0,340.85,341.15,81572
2000-03-08,348.0,368.45,342.05,364.9,66976
2000-03-09,371.25,380.0,350.0,371.1,116584
2000-03-10,372.0,372.0,350.0,351.4,30208
2000-03-13,353.0,353.9,323.6,331.8,120500
2000-03-14,333.0,333.0,310.0,319.2,124763
2000-03-15,319.0,333.95,318.0,324.05,35328
2000-03-16,320.0,330.25,315.0,318.2,88755
2000-03-21,312.0,312.0,292.75,292.9,63152
2000-03-22,297.0,298.0,275.0,286.85,193409
