date,open,high,low,close,volume
2021-03-19,212.25,234.0,187.2,208.45,42658002
2021-03-22,206.0,207.4,194.1,197.65,6635749
2021-03-23,195.8,198.95,181.5,184.9,6035000
2021-03-24,180.7,183.9,178.55,180.35,2584232
2021-03-25,180.6,183.8,166.95,179.6,3022287
2021-03-26,183.1,215.5,180.4,208.95,6377056
2021-03-30,216.9,222.9,195.1,210.75,9872412
2021-03-31,206.4,213.75,201.9,207.1,3134003
2021-04-01,210.05,216.6,206.35,214.0,2334164
2021-04-05,208.0,211.8,198.0,198.55,2630500
2021-04-06,201.5,202.2,190.0,192.8,960303
2021-04-07,192.45,205.9,192.2,201.45,1903279
2021-04-08,201.95,204.15,198.6,201.2,1435477
2021-04-09,200.25,204.25,198.0,201.35,683249
2021-04-12,192.0,198.8,185.8,187.95,1463547
2021-04-13,191.0,196.8,186.1,192.05,722007
2021-04-15,191.0,191.0,171.0,173.35,3059604
2021-04-16,174.95,177.95,172.0,173.4,1464154
2021-04-19,168.85,174.35,161.55,172.1,1851422
2021-04-20,172.0,177.4,170.0,171.15,928923
2021-04-22,173.95,176.3,161.0,172.5,1266627
2021-04-23,173.0,184.7,171.9,177.5,2817316
2021-04-26,179.9,189.3,179.0,185.4,1741872
2021-04-27,184.45,186.95,181.05,182.55,778443
2021-04-28,184.45,194.45,183.0,192.05,1619034
2021-04-29,193.2,194.7,187.0,187.7,613827
2021-04-30,185.0,192.75,184.0,187.4,785980
2021-05-03,185.0,190.45,183.05,184.35,635350
2021-05-04,186.0,191.8,182.55,188.7,724296
2021-05-05,190.25,199.6,189.0,196.95,1475156
2021-05-06,198.7,204.1,189.3,190.9,1030393
2021-05-07,194.0,194.0,187.1,187.65,861777
2021-05-10,189.9,190.05,187.05,188.2,838726
2021-05-11,187.0,190.65,185.85,189.4,914035
2021-05-12,190.0,204.0,188.0,195.3,2092959
2021-05-14,199.2,201.75,188.65,189.5,1029960
2021-05-17,190.05,194.9,190.0,191.6,729203
2021-05-18,192.15,229.9,192.15,229.9,6359148
2021-05-19,237.0,252.7,229.05,232.65,9676055
2021-05-20,235.4,238.25,223.0,225.8,1975805
2021-05-21,227.5,246.7,227.1,240.65,3262417
2021-05-24,243.75,269.85,233.6,264.5,6463990
2021-05-25,268.0,294.5,268.0,273.55,7406948
2021-05-26,278.45,298.0,274.0,292.85,3719398
2021-05-27,291.0,296.4,280.0,291.6,1967749
2021-05-28,292.0,297.3,275.3,278.55,1299970
2021-05-31,280.9,334.25,272.5,328.0,8361190
2021-06-01,332.0,344.0,313.35,332.4,5420610
2021-06-02,331.45,365.6,328.45,362.7,4801915
2021-06-03,368.0,397.7,365.0,374.45,7098414
2021-06-04,373.9,390.0,365.3,373.1,3238548
2021-06-07,376.7,381.3,367.0,373.25,1614769
2021-06-08,375.75,384.0,361.4,377.8,1818467
2021-06-09,382.0,415.0,378.0,391.9,4739596
2021-06-10,399.0,431.05,399.0,431.05,4530411
2021-06-11,448.0,454.4,428.0,443.4,3643363
2021-06-14,440.0,440.0,399.1,419.75,3553526
2021-06-15,424.9,452.0,416.3,421.3,5087372
2021-06-16,427.25,441.65,414.05,420.15,2251563
2021-06-17,416.0,427.9,382.35,389.65,2285448
2021-06-18,395.45,405.2,355.65,383.55,2868548
2021-06-21,377.0,401.4,365.75,391.5,1658717
2021-06-22,404.9,412.65,397.8,400.25,1530219
2021-06-23,405.0,408.4,390.05,393.75,870224
2021-06-24,396.1,401.65,383.55,389.4,1108686
2021-06-25,392.5,395.0,383.05,385.0,571435
2021-06-28,387.25,401.0,383.15,393.65,905064
2021-06-29,399.0,410.95,395.25,398.15,1859786
2021-06-30,402.4,404.9,392.0,394.0,707372
2021-07-01,395.1,398.45,389.25,390.5,606626
2021-07-02,392.8,396.05,388.65,390.6,435054
2021-07-05,391.0,429.65,390.0,429.65,3570835
2021-07-06,435.0,467.0,427.6,432.7,6668614
2021-07-07,436.75,446.8,428.3,435.05,1512060
2021-07-08,438.75,438.75,417.05,424.5,1107400
2021-07-09,424.5,442.65,420.0,431.75,1255540
2021-07-12,435.0,461.1,435.0,450.95,2619768
2021-07-13,456.0,460.9,446.3,449.45,1185767
2021-07-14,450.9,452.5,437.0,439.45,595609
2021-07-15,441.65,455.6,436.0,441.2,1520590
2021-07-16,444.35,446.7,432.35,434.9,853984
2021-07-19,427.8,435.8,418.0,424.55,1150092
2021-07-20,426.7,429.45,403.15,411.35,1040744
2021-07-22,414.5,425.55,414.5,423.0,610759
2021-07-23,425.15,432.4,420.0,423.1,1183639
2021-07-26,420.0,423.3,412.35,414.95,1140055
2021-07-27,417.0,423.25,410.0,413.35,807423
2021-07-28,415.5,417.0,403.3,414.0,539816
2021-07-29,415.6,421.55,410.25,413.2,572348
2021-07-30,414.0,415.3,408.05,409.1,568874
2021-08-02,420.0,450.0,420.0,449.25,4498121
2021-08-03,454.7,475.8,440.25,471.1,5454494
2021-08-04,473.0,487.8,450.5,458.25,3604527
2021-08-05,459.4,462.05,437.5,441.95,1529782
2021-08-06,443.6,499.0,443.5,474.45,5720841
2021-08-09,482.0,507.3,481.25,492.2,3757803
2021-08-10,493.9,496.6,433.9,455.8,2359097
2021-08-11,455.55,460.45,426.55,449.55,2176582
2021-08-12,452.0,488.8,445.2,484.5,2117075
2021-08-13,486.0,497.0,465.55,472.05,1596575
2021-08-16,480.0,493.25,464.55,469.05,1269704
2021-08-17,470.35,484.7,461.25,475.6,1008617
2021-08-18,478.0,480.75,460.25,463.8,676182
2021-08-20,450.55,462.75,435.75,440.95,683241
