date,open,high,low,close,volume
2024-02-29,215.0,219.9,196.1,200.7,20743557
2024-03-01,193.7,196.3,185.0,191.7,3542775
2024-03-02,191.65,195.95,188.7,191.8,381342
2024-03-04,191.7,191.8,180.1,181.45,1564060
2024-03-05,181.35,182.4,170.6,178.0,1802892
2024-03-06,175.2,176.7,167.5,168.65,996188
2024-03-07,168.6,177.75,168.0,171.8,907594
2024-03-11,171.8,174.25,161.25,163.75,1385190
2024-03-12,163.7,164.7,141.85,151.55,2660991
2024-03-13,153.0,157.55,139.6,145.2,1787738
2024-03-14,143.55,153.0,141.15,149.2,1085656
2024-03-15,148.85,150.95,143.9,148.0,572486
2024-03-18,146.05,171.3,145.6,167.5,3344302
2024-03-19,167.0,169.7,160.95,167.7,1391542
2024-03-20,167.55,184.3,165.15,175.25,3849745
2024-03-21,169.0,175.2,167.1,173.0,954004
2024-03-22,173.0,174.6,169.8,173.65,385994
2024-03-26,170.2,173.65,169.0,172.3,357380
2024-03-27,172.35,179.5,171.6,177.25,923931
2024-03-28,178.35,179.5,170.8,176.3,642640
2024-04-01,180.05,184.5,173.05,176.7,647901
2024-04-02,175.75,184.45,173.05,182.9,416174
2024-04-03,182.9,189.5,180.2,186.4,891567
2024-04-04,187.45,189.5,181.5,182.9,406959
2024-04-05,185.6,185.65,176.2,182.45,253290
2024-04-08,184.55,184.85,177.0,177.55,213952
2024-04-09,181.0,194.5,172.15,174.25,1485982
2024-04-10,176.5,179.4,170.7,172.05,396833
2024-04-12,172.0,177.5,171.45,174.75,399255
2024-04-15,168.0,172.95,164.7,165.2,406864
2024-04-16,167.35,169.75,164.1,168.55,299836
2024-04-18,172.0,172.95,168.95,170.35,245656
2024-04-19,167.1,171.4,166.2,169.95,167911
2024-04-22,171.0,176.95,165.0,168.2,219175
2024-04-23,169.5,170.8,167.7,169.0,153362
2024-04-24,170.75,175.25,170.0,173.65,268796
2024-04-25,175.35,181.0,174.0,177.4,562678
2024-04-26,178.0,180.0,175.25,176.05,394940
2024-04-29,178.0,178.0,171.9,172.55,331398
2024-04-30,173.0,174.7,171.5,172.25,267499
2024-05-02,172.25,173.85,168.1,170.2,268197
2024-05-03,171.0,173.6,169.05,172.25,217957
2024-05-06,172.95,173.4,168.0,168.8,175915
2024-05-07,168.95,170.2,161.0,161.85,311185
2024-05-08,161.5,171.85,159.5,167.25,244990
2024-05-09,169.0,169.55,162.95,163.5,251057
2024-05-10,163.8,165.7,158.15,158.6,309556
