date,open,high,low,close,volume
2024-03-19,289.2,289.2,262.4,276.15,4518261
2024-03-20,274.85,289.2,272.0,284.75,1436097
2024-03-21,284.75,296.55,284.0,289.25,929477
2024-03-22,289.2,289.2,278.0,280.3,325177
2024-03-26,274.7,275.0,265.0,266.75,548007
2024-03-27,266.75,269.1,250.55,252.3,642494
2024-03-28,249.1,257.7,236.4,249.5,829618
2024-04-01,245.1,267.0,245.05,260.85,397069
2024-04-02,263.9,264.0,254.4,257.95,233541
2024-04-03,257.95,270.0,257.95,268.55,372232
2024-04-04,271.95,273.55,262.2,264.2,188437
2024-04-05,261.55,265.1,261.0,263.2,150861
2024-04-08,263.45,272.0,255.25,267.55,723166
2024-04-09,274.9,274.95,263.3,265.85,357000
2024-04-10,265.85,266.7,261.7,262.6,106269
2024-04-12,260.6,264.15,257.4,259.9,139721
2024-04-15,254.7,254.7,245.65,247.95,854607
2024-04-16,247.85,251.7,244.05,249.0,124334
2024-04-18,245.0,253.0,241.0,243.15,186453
2024-04-19,243.0,246.7,235.0,241.4,144665
2024-04-22,245.0,252.2,240.0,240.85,119395
2024-04-23,244.9,244.9,238.15,238.85,95096
2024-04-24,238.9,243.2,235.15,237.1,206399
2024-04-25,236.0,242.0,236.0,236.5,129429
2024-04-26,237.95,241.0,233.05,235.15,217517
2024-04-29,237.0,239.45,232.0,233.5,163083
2024-04-30,233.15,233.55,231.0,231.85,329780
2024-05-02,231.8,237.9,230.55,232.65,122729
2024-05-03,232.65,235.45,232.0,233.85,91876
2024-05-06,233.3,233.85,227.5,228.4,222181
2024-05-07,228.35,229.4,223.0,224.25,118288
2024-05-08,224.05,227.0,221.0,222.7,94508
2024-05-09,220.45,221.5,217.1,219.1,93294
2024-05-10,219.05,219.05,212.25,214.35,120544
2024-05-13,214.35,216.25,208.0,211.9,111590
2024-05-14,210.0,218.0,207.8,216.45,79772
2024-05-15,216.45,222.0,212.2,212.8,106494
2024-05-16,212.8,218.0,210.35,215.95,91421
2024-05-17,215.95,221.9,213.4,220.25,93306
2024-05-18,220.25,222.8,218.0,220.0,15885
2024-05-21,217.8,221.95,216.15,218.6,79383
2024-05-22,218.0,237.0,217.15,231.4,183118
2024-05-23,234.0,239.5,227.5,230.15,92547
2024-05-24,235.8,235.8,229.8,233.2,111930
2024-05-27,229.7,233.2,225.15,228.65,57860
2024-05-28,227.95,228.65,222.0,224.0,101493
2024-05-29,227.3,227.3,220.95,223.05,54584
2024-05-30,225.1,225.55,220.05,222.1,48916
2024-05-31,222.0,224.9,220.65,221.95,38541
2024-06-03,222.5,228.8,215.5,218.6,128784
2024-06-04,215.0,218.0,199.0,209.3,177346
2024-06-05,210.0,218.7,200.35,215.4,98122
2024-06-06,215.5,219.6,213.75,216.1,68105
2024-06-07,216.1,219.8,214.05,216.8,71859
2024-06-10,216.0,221.5,215.36,218.77,56268
2024-06-11,218.75,224.72,218.75,223.49,70363
2024-06-12,221.25,225.0,221.25,224.04,55270
2024-06-13,225.0,241.72,222.55,230.31,382869
2024-06-14,232.6,259.95,230.0,254.68,776707
2024-06-18,254.55,262.0,245.25,260.55,354473
2024-06-19,260.55,260.59,250.5,255.19,142340
2024-06-20,255.0,265.0,250.79,262.95,186538
2024-06-21,261.0,264.0,257.37,260.93,181063
2024-06-24,260.95,261.29,251.0,254.63,68581
2024-06-25,254.6,256.12,246.0,247.09,100121
2024-06-26,247.5,248.59,240.5,247.28,75320
2024-06-27,248.3,248.3,242.46,245.32,67683
2024-06-28,244.99,244.99,235.27,239.05,103158
2024-07-01,240.55,245.7,238.02,244.48,47000
2024-07-02,245.25,247.3,240.0,244.12,37291
2024-07-03,241.4,249.65,240.5,247.88,53371
2024-07-04,247.9,259.19,245.6,253.05,172535
2024-07-05,251.8,253.05,250.01,252.16,44232
2024-07-08,249.65,252.07,245.24,250.54,62074
2024-07-09,248.05,257.12,248.05,251.9,77060
2024-07-10,249.4,251.55,240.0,247.99,86359
2024-07-11,244.25,249.43,241.82,243.09,56030
2024-07-12,244.0,251.0,241.1,249.84,104908
2024-07-15,249.84,254.0,244.81,249.1,69831
2024-07-16,249.1,251.94,238.2,240.35,43685
2024-07-18,240.99,246.43,238.34,240.29,87794
2024-07-19,243.9,244.37,236.2,239.38,44232
2024-07-22,236.0,238.0,232.61,236.36,49917
2024-07-23,233.25,238.58,233.0,236.38,306751
2024-07-24,238.75,246.0,235.6,243.67,97020
2024-07-25,240.05,243.36,236.0,237.46,42650
2024-07-26,242.0,243.54,234.5,241.98,51361
2024-07-29,245.0,245.0,241.31,242.95,58849
2024-07-30,243.79,243.79,238.3,239.57,36558
2024-07-31,238.05,242.0,238.05,241.26,48870
2024-08-01,241.5,261.0,240.76,248.84,412827
2024-08-02,242.3,246.87,238.43,241.06,130083
2024-08-05,236.0,239.8,230.01,236.32,108886
2024-08-06,236.99,239.79,230.22,231.59,65935
2024-08-07,231.59,236.18,230.01,235.18,31873
2024-08-08,238.7,239.38,233.0,236.52,42406
2024-08-09,234.5,238.95,233.35,234.27,37956
2024-08-12,233.35,235.4,228.0,234.58,62550
2024-08-13,234.58,234.58,230.0,230.67,55152
2024-08-14,227.0,228.99,218.07,220.76,157040
2024-08-16,221.99,244.0,220.01,228.52,344188
2024-08-19,228.52,230.0,223.43,227.03,104255
2024-08-20,224.06,226.9,220.09,222.81,75335
2024-08-21,221.0,230.1,221.0,227.74,153241
2024-08-22,230.0,235.0,228.0,229.32,46038
2024-08-23,232.75,232.75,228.07,229.62,42707
2024-08-26,234.0,242.14,230.1,235.87,285230
2024-08-27,239.4,239.4,235.0,237.73,44724
2024-08-28,237.79,240.0,230.0,232.96,70609
2024-08-29,231.0,233.75,225.0,227.9,75430
2024-08-30,228.0,230.0,225.9,228.91,43925
2024-09-02,232.35,232.35,223.41,224.46,58982
2024-09-03,224.46,227.61,222.11,226.01,46224
2024-09-04,229.4,229.4,225.75,226.74,43778
2024-09-05,226.49,229.36,226.0,226.59,46671
2024-09-06,226.5,229.6,226.1,227.34,46307
2024-09-09,225.83,227.0,222.07,225.14,87125
2024-09-10,225.14,229.0,223.37,226.06,52923
2024-09-11,226.06,229.0,225.05,226.71,49158
2024-09-12,226.5,228.85,223.34,224.47,30729
2024-09-13,227.85,230.9,224.0,225.88,49178
2024-09-16,229.87,229.87,223.5,224.06,65084
2024-09-17,222.5,224.0,220.5,221.03,67285
2024-09-18,221.03,228.78,219.65,225.46,469963
2024-09-19,225.0,227.95,222.85,223.74,37872
2024-09-20,221.5,225.61,221.0,221.67,35968
2024-09-23,224.62,224.62,220.4,221.32,41453
2024-09-24,220.6,221.25,219.35,219.74,47450
2024-09-25,219.74,221.0,218.01,219.21,34918
2024-09-26,218.1,221.0,218.1,219.67,49176
2024-09-27,219.67,224.9,219.41,221.81,160673
2024-09-30,222.0,223.3,216.0,216.87,387967
2024-10-01,216.0,221.07,216.0,219.64,31774
2024-10-03,216.4,221.74,215.0,220.75,66931
2024-10-04,218.55,220.99,216.6,217.46,22019
2024-10-07,219.0,222.0,208.4,209.28,55904
2024-10-08,206.15,211.4,206.15,208.28,53891
2024-10-09,209.0,214.19,208.45,209.33,49135
2024-10-10,209.33,214.8,209.0,213.33,33560
2024-10-11,213.33,213.33,209.02,209.91,29434
2024-10-14,211.4,213.0,205.21,206.17,68181
2024-10-15,208.25,211.0,201.0,201.68,83283
2024-10-16,203.7,203.99,200.1,201.33,51747
2024-10-17,202.8,202.8,195.0,195.87,150584
2024-10-18,195.0,197.16,190.74,193.68,52374
2024-10-21,195.1,197.4,186.1,186.97,112614
2024-10-22,186.0,189.0,181.5,185.92,106856
2024-10-23,186.0,190.0,179.5,189.13,57969
2024-10-24,191.95,191.95,182.75,183.87,51907
2024-10-25,183.9,185.19,171.0,173.97,108769
2024-10-28,173.0,173.81,169.03,170.0,108628
2024-10-29,171.24,177.0,169.38,171.32,103521
2024-10-30,171.32,175.0,170.0,171.99,103290
2024-10-31,173.19,175.0,166.31,172.52,110958
2024-11-01,173.74,179.0,173.74,177.23,17199
2024-11-04,177.78,177.78,166.05,168.91,95485
2024-11-05,169.03,172.49,166.45,167.03,71289
2024-11-06,167.7,173.32,166.16,169.97,303751
2024-11-07,172.5,175.1,170.25,171.81,96307
2024-11-08,170.01,172.35,169.04,170.28,43849
2024-11-11,172.3,172.31,167.0,167.67,45360
2024-11-12,167.86,169.52,162.0,164.26,50818
2024-11-13,164.76,165.99,156.0,156.8,78150
