date,open,high,low,close,volume
2006-08-28,521.0,569.0,502.0,554.25,15166163
2006-08-29,555.0,563.9,535.55,539.3,3929113
2006-08-30,537.0,542.9,521.5,528.1,2034983
2006-08-31,525.0,544.0,515.0,538.45,1670990
2006-09-01,539.0,549.0,535.1,541.85,1176195
2006-09-04,542.0,549.0,452.8,543.95,749788
2006-09-05,544.0,556.0,538.5,552.7,956133
2006-09-06,554.7,562.5,538.0,541.25,957611
2006-09-07,545.0,545.0,530.0,537.3,351161
2006-09-08,538.8,544.9,531.55,534.8,269659
2006-09-11,539.95,545.0,532.25,535.95,420466
2006-09-12,535.95,546.85,534.0,537.85,514196
2006-09-13,541.0,549.0,541.0,544.7,401947
2006-09-14,545.2,557.5,545.1,549.85,534610
2006-09-15,550.15,554.0,539.0,540.2,209783
2006-09-18,544.0,562.0,544.0,546.5,224376
2006-09-19,548.05,623.85,546.5,584.25,4793064
2006-09-20,579.8,613.9,573.25,605.05,2264328
2006-09-21,577.0,627.0,577.0,608.95,1776100
2006-09-22,625.0,625.0,593.25,601.15,726501
2006-09-25,595.25,611.7,590.05,593.55,635537
2006-09-26,599.8,626.0,594.0,617.6,1735875
2006-09-27,619.5,631.8,616.3,619.45,1015312
2006-09-28,624.7,624.7,608.15,613.0,302605
2006-09-29,615.0,630.0,610.0,618.4,595376
2006-10-03,619.0,635.85,615.0,619.4,800656
2006-10-04,621.6,624.0,610.0,613.7,300674
2006-10-05,621.2,628.0,619.0,624.15,214316
2006-10-06,629.0,639.95,618.15,621.3,618442
2006-10-09,618.0,624.9,610.0,614.05,240328
2006-10-10,620.0,624.8,610.35,615.85,210138
2006-10-11,620.0,653.8,620.0,629.95,1942573
2006-10-12,634.5,637.1,621.0,629.7,721172
2006-10-13,635.1,692.9,635.1,681.95,2521133
2006-10-16,688.25,718.0,688.25,710.45,1859460
2006-10-17,714.0,717.0,700.25,704.5,826731
2006-10-18,710.0,715.0,680.0,684.05,754796
2006-10-19,700.0,792.0,700.0,772.7,4708913
2006-10-20,779.0,900.0,776.0,863.35,5252845
2006-10-21,900.0,976.0,900.0,956.4,2442711
2006-10-23,956.0,988.95,881.0,898.15,4171924
2006-10-26,900.0,926.0,892.35,918.65,2675072
2006-10-27,921.3,1014.0,921.3,1000.95,4454173
2006-10-30,1010.0,1047.8,985.0,1006.55,3142529
2006-10-31,1008.0,1025.0,956.6,989.7,2238040
