date,open,high,low,close,volume
2023-08-07,306.1,343.1,306.1,333.85,22195923
2023-08-08,330.0,361.9,320.6,349.1,11284783
2023-08-09,347.85,354.8,337.0,343.0,2731983
2023-08-10,340.95,347.55,331.7,333.25,1351282
2023-08-11,333.25,335.95,326.3,330.2,1212011
2023-08-14,325.6,339.0,322.2,337.2,1006122
2023-08-16,330.0,336.5,324.45,326.15,759396
2023-08-17,324.9,330.95,310.1,312.25,748120
2023-08-18,331.35,349.4,331.35,342.25,5353668
2023-08-21,344.4,352.7,340.2,348.45,1671470
2023-08-22,351.8,388.0,350.05,376.3,6336778
2023-08-23,380.0,391.0,377.3,381.65,1627788
2023-08-24,381.95,404.7,378.0,397.05,2923686
2023-08-25,396.55,403.95,382.8,393.0,1081746
2023-08-28,396.5,397.05,375.4,379.05,506322
2023-08-29,384.4,385.7,370.0,371.85,299379
2023-08-30,375.0,383.9,366.0,380.8,416147
2023-08-31,380.5,381.45,371.0,374.8,266173
2023-09-01,379.0,389.45,372.0,373.7,433957
2023-09-04,373.7,382.05,362.05,373.6,316561
2023-09-05,374.05,380.0,367.65,369.7,271163
2023-09-06,370.5,375.7,364.5,367.2,225573
2023-09-07,370.0,374.3,366.0,369.65,194521
2023-09-08,371.6,373.6,361.05,363.0,262360
2023-09-11,370.0,378.95,360.5,377.1,660003
2023-09-12,380.45,381.0,352.15,355.35,549001
2023-09-13,358.4,364.0,351.5,359.25,264361
2023-09-14,364.8,372.0,359.05,370.1,353019
2023-09-15,374.4,396.25,371.0,386.95,1205161
2023-09-18,389.1,392.0,377.15,379.4,340332
2023-09-20,378.4,380.45,366.65,369.95,264244
2023-09-21,370.45,373.45,358.8,362.4,205762
2023-09-22,362.0,372.05,356.8,366.15,218082
2023-09-25,366.15,371.0,359.0,360.3,270416
2023-09-26,361.0,365.7,360.15,361.1,174682
2023-09-27,364.7,373.5,361.3,369.35,513928
2023-09-28,372.9,377.8,366.35,370.0,390124
2023-09-29,379.3,383.8,366.2,378.35,412483
2023-10-03,370.0,388.35,369.0,383.65,420842
2023-10-04,385.0,404.0,375.55,378.45,1026935
2023-10-05,383.45,388.15,374.8,381.05,351910
2023-10-06,385.9,415.4,383.5,401.75,3345234
2023-10-09,389.9,408.0,386.0,392.2,825731
2023-10-10,397.0,419.0,396.05,409.15,989058
2023-10-11,413.0,426.95,409.2,417.15,978366
2023-10-12,420.75,421.45,393.05,395.85,884179
2023-10-13,394.55,408.9,393.4,403.95,393049
2023-10-16,407.65,407.65,395.35,396.5,179642
2023-10-17,399.0,403.75,387.05,388.5,265246
2023-10-18,391.55,393.4,378.9,388.1,383926
2023-10-19,386.15,398.6,380.15,392.0,253791
2023-10-20,381.05,385.0,358.05,362.0,1421553
2023-10-23,367.0,382.0,362.5,366.8,1125885
2023-10-25,374.7,374.7,358.1,365.05,413267
2023-10-26,364.95,367.45,350.05,362.7,187359
2023-10-27,362.7,369.1,359.55,364.45,207848
2023-10-30,365.4,365.45,354.25,358.7,505045
2023-10-31,363.0,368.0,344.1,348.05,1205531
2023-11-01,350.5,363.95,348.8,359.65,511842
2023-11-02,363.0,365.7,358.35,361.35,283351
2023-11-03,363.35,368.35,360.3,361.8,230017
