date,open,high,low,close,volume
2022-12-23,273.0,273.0,218.4,218.4,1712658
2022-12-26,215.0,218.0,200.0,202.5,1184182
2022-12-27,204.9,213.5,204.05,204.75,555445
2022-12-28,204.7,207.55,200.05,202.1,447786
2022-12-29,201.0,201.9,193.35,193.85,395919
2022-12-30,197.6,197.6,188.0,190.1,208697
2023-01-02,192.5,196.0,187.0,189.4,290026
2023-01-03,194.0,194.0,188.5,190.0,105803
2023-01-04,188.05,190.55,185.0,185.45,150854
2023-01-05,185.9,188.0,183.05,184.0,123103
2023-01-06,183.95,185.6,180.1,180.95,107382
2023-01-09,181.95,187.9,181.95,185.05,90520
2023-01-10,186.0,201.6,183.0,196.15,204129
2023-01-11,201.1,234.0,200.05,226.65,748735
2023-01-12,223.95,231.8,220.0,229.55,623801
2023-01-13,231.45,233.55,225.1,228.45,161613
2023-01-16,231.05,244.8,225.6,241.85,303052
2023-01-17,241.05,248.0,237.0,245.85,162220
2023-01-18,244.0,270.95,241.0,269.3,940207
2023-01-19,267.9,274.8,267.0,271.4,721952
2023-01-20,270.0,271.1,263.3,268.5,147589
2023-01-23,268.5,277.95,267.0,270.7,423594
2023-01-24,274.2,274.2,267.05,270.7,625194
2023-01-25,272.0,272.1,250.0,259.35,140393
2023-01-27,258.95,274.0,250.2,266.25,1019428
2023-01-30,266.2,273.6,250.2,251.65,63078
2023-01-31,255.15,257.75,240.1,243.35,34843
2023-02-01,243.05,249.15,234.0,236.55,41357
2023-02-02,236.0,244.95,230.4,240.3,16973
2023-02-03,243.0,243.0,232.1,239.2,94130
2023-02-06,235.0,254.8,234.1,250.6,282387
2023-02-07,255.6,259.9,234.0,236.35,339616
2023-02-08,236.35,246.5,235.05,244.25,231910
2023-02-09,250.45,250.45,235.25,236.35,16939
2023-02-10,238.45,245.0,235.8,238.15,48092
2023-02-13,238.0,238.15,228.3,231.45,15398
2023-02-14,229.0,232.7,218.1,220.2,24676
2023-02-15,220.2,247.9,220.2,238.4,56221
2023-02-16,233.0,251.95,233.0,236.25,55847
2023-02-17,242.0,242.0,235.0,236.15,11044
2023-02-20,237.0,242.5,235.0,235.2,38136
2023-02-21,234.5,246.0,233.1,242.45,34628
2023-02-22,242.45,244.95,235.0,236.6,28678
2023-02-23,233.0,243.5,233.0,237.6,13104
2023-02-24,237.05,238.7,231.0,235.35,11748
2023-02-27,233.0,239.95,233.0,238.05,14059
2023-02-28,238.05,255.0,237.15,241.95,153696
2023-03-01,249.4,249.4,224.25,232.3,358984
2023-03-02,235.75,236.0,230.2,232.6,15582
2023-03-03,230.5,233.8,226.5,229.9,34203
2023-03-06,228.2,231.55,225.0,225.45,56787
2023-03-08,224.95,226.2,220.5,221.25,15629
2023-03-09,221.65,225.7,216.85,217.4,20052
2023-03-10,217.4,220.1,213.8,214.9,17143
2023-03-13,212.0,216.95,206.0,208.05,71887
2023-03-14,212.0,212.0,204.0,207.85,23966
2023-03-15,209.0,214.95,206.05,207.2,13237
2023-03-16,210.95,212.75,201.95,210.85,155442
2023-03-17,216.0,216.0,208.55,211.95,250777
2023-03-20,211.8,215.7,206.55,208.0,305297
2023-03-21,210.1,211.15,206.0,207.15,181293
2023-03-22,208.95,226.0,208.95,222.65,290442
2023-03-23,222.0,230.85,220.05,225.55,64849
2023-03-24,228.0,230.05,222.2,223.6,90099
2023-03-27,225.0,226.9,221.0,223.5,204338
2023-03-28,224.05,224.6,219.85,220.25,41643
2023-03-29,218.0,221.1,212.0,213.05,18167
2023-03-31,213.15,216.4,210.0,213.45,264196
2023-04-03,213.45,222.2,213.45,215.7,121634
2023-04-05,215.7,219.5,210.0,210.35,52106
2023-04-06,214.85,217.7,211.15,212.65,21097
2023-04-10,219.0,221.8,212.0,216.0,56638
2023-04-11,219.95,220.0,214.0,214.45,8128
2023-04-12,212.15,229.9,212.15,224.4,164313
2023-04-13,229.5,231.9,222.4,223.95,84684
2023-04-17,223.5,243.0,221.1,228.75,292129
2023-04-18,228.6,236.15,226.25,231.3,106884
2023-04-19,230.1,246.8,229.4,239.0,235482
2023-04-20,239.85,245.0,239.0,241.15,93547
2023-04-21,241.15,246.8,239.25,246.15,128322
2023-04-24,247.0,247.8,242.3,243.45,47985
2023-04-25,243.45,244.7,242.5,243.05,10982
2023-04-26,244.85,244.85,232.0,239.5,17374
2023-04-27,240.0,252.25,240.0,250.85,211493
2023-04-28,250.8,257.0,248.05,254.65,181958
2023-05-02,252.5,254.65,247.25,247.65,41586
2023-05-03,248.3,250.0,242.3,245.4,58912
