date,open,high,low,close,volume
2023-09-05,165.0,165.0,144.0,145.7,33422169
2023-09-06,149.7,173.3,146.15,163.5,30128793
2023-09-07,166.35,174.0,166.05,168.7,10619235
2023-09-08,170.0,175.85,163.4,172.75,6126052
2023-09-11,174.3,175.4,165.1,166.2,2609536
2023-09-12,167.9,169.2,152.0,152.7,3685253
2023-09-13,154.0,168.5,150.65,166.5,4236260
2023-09-14,169.35,172.5,162.35,169.8,3888152
2023-09-15,171.1,187.5,170.5,174.6,10451755
2023-09-18,178.0,179.35,170.75,174.35,2443142
2023-09-20,175.8,182.0,170.1,173.65,2848132
2023-09-21,173.65,176.35,167.0,169.7,1676116
2023-09-22,171.55,174.45,168.35,171.45,1483592
2023-09-25,172.95,179.2,172.3,176.9,2640420
2023-09-26,176.9,189.2,168.25,181.1,11288667
2023-09-27,182.05,184.4,177.55,178.7,2623405
2023-09-28,179.5,181.95,170.05,170.85,2521023
2023-09-29,171.95,178.45,171.2,172.5,1857773
2023-10-03,173.0,173.7,165.3,166.1,1914314
2023-10-04,165.95,169.55,162.1,164.9,1788817
2023-10-05,166.9,171.55,166.35,170.6,1777490
2023-10-06,171.2,176.15,170.05,173.45,1927718
2023-10-09,170.95,177.85,166.75,173.85,2284946
2023-10-10,175.8,188.4,175.25,181.15,4529163
2023-10-11,183.05,201.8,181.2,196.9,8060006
2023-10-12,201.0,207.7,197.5,201.5,7638653
2023-10-13,200.45,213.05,198.3,210.2,6668946
2023-10-16,210.95,212.0,202.8,204.55,2273377
2023-10-17,205.0,208.4,200.2,202.05,1876561
2023-10-18,202.15,205.75,194.0,197.5,1922376
2023-10-19,195.85,201.5,195.75,197.65,1231862
2023-10-20,198.5,203.65,192.0,194.1,1408638
2023-10-23,194.65,194.8,178.25,179.65,2175948
2023-10-25,183.5,186.0,172.0,178.3,1579995
2023-10-26,177.0,193.7,171.6,190.2,2796881
2023-10-27,192.05,202.3,191.05,198.15,3185559
2023-10-30,199.0,199.25,192.5,195.35,1092923
2023-10-31,196.1,199.6,192.05,192.7,809884
2023-11-01,193.0,195.25,185.25,186.4,821560
2023-11-02,189.85,191.2,187.6,188.15,871989
2023-11-03,188.0,196.35,187.95,192.8,1887740
2023-11-06,196.0,200.0,194.4,195.05,1871161
2023-11-07,195.75,199.7,191.65,197.8,1157758
2023-11-08,199.0,210.95,199.0,200.45,4703151
2023-11-09,197.0,202.2,192.8,193.65,2309063
2023-11-10,194.7,195.75,189.8,191.1,1238007
2023-11-12,193.9,198.5,193.0,197.45,546453
2023-11-13,198.0,198.0,192.25,193.45,852560
2023-11-15,195.8,201.0,194.45,197.3,1554518
2023-11-16,197.9,226.6,197.4,221.35,12240428
2023-11-17,221.3,228.8,213.5,216.65,3938370
2023-11-20,217.5,221.35,211.15,212.9,1845465
2023-11-21,212.1,216.4,207.45,213.3,1877814
2023-11-22,213.95,216.75,208.75,213.0,1141598
2023-11-23,214.25,214.4,211.05,213.0,661407
2023-11-24,214.0,223.05,211.0,215.65,2492059
2023-11-28,217.05,217.6,211.65,212.95,758957
2023-11-29,213.5,214.5,205.85,207.6,1015267
2023-11-30,208.15,210.7,201.3,202.75,1309804
2023-12-01,203.3,208.45,203.3,204.8,2539769
2023-12-04,209.05,209.85,205.05,206.3,1024922
2023-12-05,206.65,208.2,203.0,204.55,591802
2023-12-06,205.4,206.0,201.05,201.75,628999
2023-12-07,202.25,207.35,199.0,204.6,1681585
2023-12-08,205.9,207.5,199.95,203.0,1359403
2023-12-11,203.5,211.95,201.65,209.65,1691770
