date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2024-09-16,EQ,511.25,513.95,496.0,510.85,502.0,500.35,503.7,627.5,470.2,74016,37281561.15,6321,STANLEY
2024-09-17,EQ,496.0,508.95,495.0,500.35,496.05,496.4,501.07,627.5,470.2,71445,35799234.7,5845,STANLEY
2024-09-18,EQ,500.95,511.45,491.0,496.4,493.0,492.05,498.12,627.5,470.2,97489,48561707.55,8099,STANLEY
2024-09-19,EQ,496.8,498.5,486.95,492.05,492.25,492.65,491.6,627.5,470.2,110077,54114059.5,9176,STANLEY
2024-09-20,EQ,495.0,499.4,486.5,492.65,492.9,490.8,490.7,627.5,470.2,101581,49845544.4,7543,STANLEY
2024-09-23,EQ,495.05,499.0,490.05,490.8,494.9,493.6,493.92,627.5,470.2,77851,38452454.2,5031,STANLEY
2024-09-24,EQ,491.0,497.0,484.0,493.6,485.4,484.9,485.48,627.5,470.2,260541,126486452.55,13299,STANLEY
2024-09-25,EQ,484.9,489.0,483.3,484.9,485.0,484.4,485.84,627.5,470.2,69164,33602804.95,6075,STANLEY
2024-09-26,EQ,489.4,489.4,477.0,484.4,478.8,478.0,479.8,627.5,470.2,86203,41360038.2,6413,STANLEY
2024-09-27,EQ,483.35,489.0,478.85,478.0,488.0,486.8,485.75,627.5,470.2,156809,76169453.7,5547,STANLEY
2024-09-30,EQ,487.0,489.95,482.3,486.8,485.0,485.5,485.86,627.5,470.2,84579,41093281.15,7663,STANLEY
2024-10-01,EQ,484.25,498.0,484.25,485.5,488.3,487.5,490.07,627.5,470.2,69548,34083365.5,4818,STANLEY
2024-10-03,EQ,477.4,484.0,474.95,487.5,476.0,476.25,478.84,627.5,470.2,92871,44470192.25,8481,STANLEY
2024-10-04,EQ,476.25,487.35,464.1,476.25,472.0,472.05,475.68,627.5,464.1,93281,44371485.05,8231,STANLEY
2024-10-07,EQ,477.0,477.0,453.25,472.05,455.0,455.25,459.5,627.5,453.25,121804,55968894.75,12924,STANLEY
2024-10-08,EQ,440.0,455.0,439.2,455.25,455.0,450.7,447.86,627.5,439.2,181940,81484308.2,10533,STANLEY
2024-10-09,EQ,458.4,480.0,458.4,450.7,475.7,476.15,472.6,627.5,439.2,126111,59600657.95,7859,STANLEY
2024-10-10,EQ,479.75,485.2,472.95,476.15,476.3,479.55,479.58,627.5,439.2,73716,35352802.8,4501,STANLEY
2024-10-11,EQ,480.2,484.8,464.1,479.55,473.9,467.85,471.01,627.5,439.2,132074,62208222.9,7895,STANLEY
2024-10-14,EQ,471.0,482.45,471.0,467.85,475.0,475.4,477.92,627.5,439.2,68464,32720476.9,5920,STANLEY
2024-10-15,EQ,478.2,479.85,476.7,475.4,478.6,478.45,478.54,627.5,439.2,52929,25328488.6,3393,STANLEY
2024-10-16,EQ,478.5,500.0,478.5,478.45,494.85,492.95,488.51,627.5,439.2,119953,58598707.35,6210,STANLEY
2024-10-17,EQ,497.9,498.2,475.05,492.95,477.95,477.25,482.8,627.5,439.2,57189,27610841.5,5409,STANLEY
2024-10-18,EQ,473.0,488.45,465.05,477.25,488.0,486.5,476.76,627.5,439.2,68233,32530958.25,4720,STANLEY
2024-10-21,EQ,486.5,519.4,472.25,486.5,503.95,502.45,506.54,627.5,439.2,604350,306128734.25,27576,STANLEY
2024-10-22,EQ,507.8,518.65,477.35,502.45,482.9,480.7,495.23,627.5,439.2,228372,113096455.5,18104,STANLEY
2024-10-23,EQ,487.9,495.0,478.5,480.7,489.05,488.6,486.01,627.5,439.2,156497,76059666.4,13291,STANLEY
2024-10-24,EQ,491.65,493.7,480.1,488.6,485.05,487.15,486.1,627.5,439.2,75664,36779981.15,8374,STANLEY
2024-10-25,EQ,486.95,486.95,467.0,487.15,472.9,471.35,473.96,627.5,439.2,89900,42609300.65,6868,STANLEY
2024-10-28,EQ,474.95,474.95,462.55,471.35,465.0,465.75,466.33,627.5,439.2,91689,42757522.65,9245,STANLEY
2024-10-29,EQ,466.15,470.85,461.3,465.75,468.5,467.1,466.03,627.5,439.2,78621,36639607.65,5648,STANLEY
2024-10-30,EQ,467.0,483.8,467.0,467.1,479.0,480.05,476.46,627.5,439.2,57972,27621481.2,4952,STANLEY
2024-10-31,EQ,479.0,498.0,473.8,480.05,482.9,478.9,486.68,627.5,439.2,135452,65922189.3,8257,STANLEY
2024-11-01,EQ,485.05,495.0,484.95,478.9,493.0,491.55,492.04,627.5,439.2,34344,16898686.85,1968,STANLEY
2024-11-04,EQ,490.6,491.5,473.25,491.55,475.8,476.35,478.72,627.5,439.2,69764,33397346.3,8081,STANLEY
2024-11-05,EQ,472.15,486.9,472.15,476.35,475.3,476.05,478.53,627.5,439.2,68567,32811215.3,8298,STANLEY
2024-11-06,EQ,480.5,485.0,476.15,476.05,484.9,480.45,480.83,627.5,439.2,58514,28135539.2,3450,STANLEY
2024-11-07,EQ,483.9,493.95,476.0,480.45,478.5,480.05,484.83,627.5,439.2,73210,35494214.8,4337,STANLEY
2024-11-08,EQ,480.1,484.5,475.0,480.05,478.95,479.75,479.43,627.5,439.2,42518,20384212.0,2533,STANLEY
2024-11-11,EQ,472.55,483.2,472.55,479.75,475.0,476.05,478.71,627.5,439.2,47558,22766627.25,3710,STANLEY
2024-11-12,EQ,476.0,479.0,466.0,476.05,467.25,468.95,472.08,627.5,439.2,50371,23779260.5,3171,STANLEY
2024-11-13,EQ,460.0,465.8,432.35,468.95,438.0,436.65,445.84,627.5,432.35,176678,78769416.5,10658,STANLEY
2024-11-14,EQ,438.8,452.65,438.05,436.65,446.5,444.2,443.95,627.5,432.35,70274,31198401.55,5574,STANLEY
2024-11-18,EQ,448.0,452.95,435.0,444.2,437.9,437.2,441.91,627.5,432.35,55798,24657584.7,5521,STANLEY
2024-11-19,EQ,443.75,445.0,419.45,437.2,426.5,425.5,434.09,627.5,419.45,119467,51860023.8,7613,STANLEY
2024-11-21,EQ,430.0,430.0,409.0,425.5,411.0,411.2,416.77,627.5,409.0,92008,38345813.85,7967,STANLEY
2024-11-22,EQ,407.1,424.0,407.1,411.2,417.0,415.65,413.25,627.5,407.1,63487,26236252.1,5700,STANLEY
2024-11-25,EQ,418.0,431.0,413.2,415.65,414.1,415.35,419.59,627.5,407.1,99535,41763852.3,6633,STANLEY
2024-11-26,EQ,419.25,439.6,413.0,415.35,418.95,421.55,427.25,627.5,407.1,185832,79395884.25,8604,STANLEY
2024-11-27,EQ,422.0,430.0,420.5,421.55,429.6,428.35,426.08,627.5,407.1,55396,23603299.75,4410,STANLEY
2024-11-28,EQ,431.0,439.0,429.35,428.35,434.95,433.7,434.07,627.5,407.1,53017,23013125.6,4758,STANLEY
2024-11-29,EQ,437.15,439.0,430.0,433.7,433.0,433.35,433.74,627.5,407.1,34064,14774802.2,3298,STANLEY
2024-12-02,EQ,432.0,432.8,426.8,433.35,430.45,430.2,430.09,627.5,407.1,58510,25164687.1,2636,STANLEY
2024-12-03,EQ,430.45,444.9,430.45,430.2,439.2,441.4,440.3,627.5,407.1,90300,39758963.3,5744,STANLEY
2024-12-04,EQ,446.0,448.4,438.0,441.4,443.0,442.2,442.8,627.5,407.1,51261,22698314.8,3671,STANLEY
2024-12-05,EQ,444.0,448.0,437.2,442.2,441.0,439.9,440.79,627.5,407.1,40581,17887799.35,2934,STANLEY
2024-12-06,EQ,445.0,446.8,438.8,439.9,444.4,441.2,442.33,627.5,407.1,42052,18600779.45,3067,STANLEY
2024-12-09,EQ,441.5,457.0,441.5,441.2,447.9,447.6,449.49,627.5,407.1,93749,42138992.3,4942,STANLEY
2024-12-10,EQ,449.0,457.2,429.5,447.6,435.9,439.35,445.38,627.5,407.1,93819,41784689.45,4828,STANLEY
2024-12-11,EQ,436.0,462.0,436.0,439.35,452.9,453.65,453.18,627.5,407.1,150442,68177148.45,9860,STANLEY
2024-12-12,EQ,453.0,454.05,444.6,453.65,445.0,447.15,448.06,627.5,407.1,45333,20312099.4,3458,STANLEY
2024-12-13,EQ,450.0,450.0,436.0,447.15,446.8,444.85,441.21,627.5,407.1,42275,18652195.4,2916,STANLEY
2024-12-16,EQ,438.2,447.8,431.05,444.85,446.1,445.9,439.65,627.5,407.1,153250,67375648.3,6334,STANLEY
2024-12-17,EQ,445.9,455.0,441.8,445.9,447.0,447.05,449.04,627.5,407.1,53912,24208773.65,3578,STANLEY
2024-12-18,EQ,451.0,452.0,435.85,447.05,437.95,436.65,439.86,627.5,407.1,35645,15678691.2,3375,STANLEY
2024-12-19,EQ,431.4,440.15,430.0,436.65,435.0,435.3,435.16,627.5,407.1,40502,17624759.0,2855,STANLEY
2024-12-20,EQ,438.0,438.75,420.2,435.3,422.0,422.3,427.99,627.5,407.1,38936,16664365.85,4373,STANLEY
2024-12-23,EQ,425.3,430.95,419.0,422.3,422.0,422.55,424.63,627.5,407.1,40360,17138216.35,3840,STANLEY
2024-12-24,EQ,423.0,436.65,421.0,422.55,424.6,423.95,426.03,627.5,407.1,43569,18561803.2,2673,STANLEY
2024-12-26,EQ,425.0,434.0,420.0,423.95,421.5,421.7,423.03,627.5,407.1,44657,18891319.4,3020,STANLEY
2024-12-27,EQ,422.95,427.0,418.0,421.7,421.45,419.15,421.21,627.5,407.1,29050,12236098.05,1818,STANLEY
2024-12-30,EQ,415.05,418.5,410.75,419.15,415.5,413.8,414.43,627.5,407.1,48796,20222692.1,4169,STANLEY
2024-12-31,EQ,413.0,417.45,409.0,413.8,416.0,412.0,412.03,627.5,407.1,121094,49894359.2,3323,STANLEY
2025-01-01,EQ,412.95,420.25,412.95,412.0,416.95,416.0,417.1,627.5,407.1,35829,14944398.45,3192,STANLEY
2025-01-02,EQ,418.95,421.7,410.0,416.0,416.0,416.1,415.75,627.5,407.1,54282,22568003.7,4865,STANLEY
2025-01-03,EQ,416.1,426.9,416.1,416.1,422.9,420.85,421.94,627.5,407.1,44519,18784392.15,4641,STANLEY
2025-01-06,EQ,427.0,427.0,405.75,420.85,410.6,407.65,410.4,627.5,405.75,77071,31630108.7,8395,STANLEY
2025-01-07,EQ,407.15,413.8,404.15,407.65,405.7,405.5,406.57,627.5,404.15,53906,21916629.65,5609,STANLEY
2025-01-08,EQ,405.7,409.95,398.5,405.5,401.0,400.25,401.37,627.5,398.5,57561,23103408.6,5474,STANLEY
2025-01-09,EQ,400.25,406.6,395.0,400.25,399.6,397.15,400.48,627.5,395.0,39589,15854694.5,3633,STANLEY
2025-01-10,EQ,398.0,399.5,380.2,397.15,387.0,383.7,385.48,627.5,380.2,82945,31973443.75,8599,STANLEY
2025-01-13,EQ,379.05,382.65,355.0,383.7,366.5,359.1,365.09,627.5,355.0,157211,57395955.65,16454,STANLEY
2025-01-14,EQ,362.0,367.5,356.7,359.1,364.0,360.0,360.42,627.5,355.0,87519,31543777.2,9529,STANLEY
2025-01-15,EQ,360.0,368.0,357.0,360.0,360.0,358.35,361.17,627.5,355.0,97155,35089940.3,9376,STANLEY
2025-01-16,EQ,364.7,374.0,363.65,358.35,371.05,368.6,367.63,627.5,355.0,60999,22425291.7,5906,STANLEY
2025-01-17,EQ,374.15,377.3,365.8,368.6,376.0,373.55,371.41,627.5,355.0,73653,27355628.75,6618,STANLEY
2025-01-20,EQ,373.55,377.65,368.05,373.55,372.4,371.3,371.83,627.5,355.0,63994,23795086.65,7355,STANLEY
2025-01-21,EQ,375.0,377.5,363.0,371.3,364.0,364.25,367.79,627.5,355.0,61769,22718181.6,6006,STANLEY
2025-01-22,EQ,366.55,366.55,343.65,364.25,357.85,354.7,352.67,627.5,343.65,82190,28985539.8,10140,STANLEY
2025-01-23,EQ,351.0,359.95,345.2,354.7,350.9,348.0,352.25,627.5,343.65,55489,19545920.05,7195,STANLEY
2025-01-24,EQ,347.1,350.65,336.0,348.0,337.0,337.25,341.8,627.5,336.0,56810,19417931.85,6561,STANLEY
2025-01-27,EQ,335.0,335.0,316.4,337.25,332.0,329.85,326.34,627.5,316.4,125397,40922385.3,14344,STANLEY
2025-01-28,EQ,332.45,334.5,317.0,329.85,334.5,330.8,325.36,627.5,316.4,112425,36578496.6,14530,STANLEY
2025-01-29,EQ,335.0,339.15,330.8,330.8,339.0,336.6,335.96,627.5,316.4,65614,22043958.05,7234,STANLEY
2025-01-30,EQ,336.6,346.9,332.05,336.6,339.0,334.9,338.11,627.5,316.4,61845,20910269.45,6976,STANLEY
2025-01-31,EQ,339.55,340.0,333.0,334.9,335.0,334.6,336.06,627.5,316.4,42110,14151405.9,4992,STANLEY
2025-02-01,EQ,336.3,377.05,333.0,334.6,353.5,353.2,358.16,627.5,316.4,176012,63039623.4,7121,STANLEY
2025-02-03,EQ,350.25,356.75,341.05,353.2,351.0,345.0,348.17,627.5,316.4,74550,25955807.7,4729,STANLEY
2025-02-04,EQ,355.0,356.85,342.55,345.0,348.0,346.1,348.82,627.5,316.4,42544,14840340.4,2525,STANLEY
2025-02-05,EQ,348.9,358.0,345.55,346.1,350.0,349.95,350.7,627.5,316.4,49495,17358139.8,4237,STANLEY
2025-02-06,EQ,361.5,361.5,333.4,349.95,345.8,342.9,343.08,627.5,316.4,66150,22694845.55,4191,STANLEY
2025-02-07,EQ,347.5,348.0,334.55,342.9,337.45,336.25,338.56,627.5,316.4,35326,11959983.9,2860,STANLEY
2025-02-10,EQ,338.0,338.0,325.4,336.25,327.7,327.7,330.24,627.5,316.4,33423,11037566.0,1983,STANLEY
2025-02-11,EQ,327.0,327.05,298.0,327.7,309.0,306.2,306.9,627.5,298.0,173869,53360594.85,7422,STANLEY
2025-02-12,EQ,310.75,310.75,291.0,306.2,309.9,304.7,300.95,627.5,291.0,88761,26712256.3,5695,STANLEY
2025-02-13,EQ,311.25,313.8,292.55,304.7,293.4,294.4,299.8,627.5,291.0,99382,29794736.15,5610,STANLEY
2025-02-14,EQ,295.55,300.2,284.0,294.4,287.0,285.7,287.86,627.5,284.0,86490,24896846.45,5085,STANLEY
2025-02-17,EQ,285.5,291.75,275.9,285.7,286.0,286.65,285.67,627.5,275.9,140118,40028155.05,9762,STANLEY
2025-02-18,EQ,286.65,289.65,274.6,286.65,278.0,280.15,279.79,627.5,274.6,103717,29019401.3,5394,STANLEY
2025-02-19,EQ,280.0,287.35,275.0,280.15,279.1,278.2,280.05,627.5,274.6,111729,31290154.9,7500,STANLEY
2025-02-20,EQ,278.0,293.45,275.3,278.2,287.95,283.05,280.81,627.5,274.6,122410,34373567.95,6367,STANLEY
2025-02-21,EQ,284.75,304.3,280.55,283.05,284.45,284.15,290.17,627.5,274.6,245540,71249269.65,6911,STANLEY
2025-02-24,EQ,279.1,285.0,277.15,284.15,281.0,281.0,280.36,627.5,274.6,153633,43072237.75,2650,STANLEY
2025-02-25,EQ,279.1,286.4,277.7,281.0,280.0,279.9,281.14,627.5,274.6,110816,31154754.8,4374,STANLEY
2025-02-27,EQ,281.5,283.0,266.0,279.9,268.0,268.05,270.71,627.5,266.0,91477,24763815.4,5776,STANLEY
2025-02-28,EQ,265.0,277.0,261.0,268.05,276.95,275.25,270.8,627.5,261.0,170934,46289026.85,9641,STANLEY
2025-03-03,EQ,276.65,281.7,259.1,275.25,265.95,265.6,266.22,627.5,259.1,133914,35650069.2,5105,STANLEY
2025-03-04,EQ,262.0,269.6,258.6,265.6,265.95,265.3,265.21,627.5,258.6,153963,40831895.3,4986,STANLEY
2025-03-05,EQ,265.3,288.6,265.3,265.3,285.05,284.15,275.38,627.5,258.6,405698,111720678.65,3843,STANLEY
2025-03-06,EQ,284.15,297.05,284.15,284.15,290.0,292.3,287.98,627.5,258.6,454491,130885488.9,6251,STANLEY
2025-03-07,EQ,292.6,331.0,290.1,292.3,324.0,325.1,312.61,627.5,258.6,989632,309367274.5,23112,STANLEY
2025-03-10,EQ,324.0,329.65,314.45,325.1,325.45,325.2,320.83,627.5,258.6,208438,66873645.75,4973,STANLEY
2025-03-11,EQ,324.05,329.4,311.05,325.2,313.0,312.9,315.29,627.5,258.6,67056,21142245.8,2831,STANLEY
2025-03-12,EQ,310.4,320.45,305.0,312.9,311.3,309.35,312.57,627.5,258.6,62714,19602550.05,2290,STANLEY
2025-03-13,EQ,314.0,314.0,299.0,309.35,301.0,301.0,305.32,627.5,258.6,58141,17751841.5,2744,STANLEY
2025-03-17,EQ,302.0,305.0,288.6,301.0,291.6,292.75,293.82,627.5,258.6,149508,43927753.1,7845,STANLEY
2025-03-18,EQ,292.95,313.1,292.95,292.75,312.0,310.55,307.71,627.5,258.6,102951,31679447.3,4176,STANLEY
2025-03-19,EQ,312.0,324.4,312.0,310.55,321.6,321.6,321.28,627.5,258.6,93395,30006084.4,3921,STANLEY
2025-03-20,EQ,326.05,340.0,324.0,321.6,337.7,336.05,333.85,627.5,258.6,166647,55634837.35,8494,STANLEY
2025-03-21,EQ,336.05,347.75,334.05,336.05,344.0,344.2,343.69,627.5,258.6,157605,54167571.3,7762,STANLEY
2025-03-24,EQ,348.0,361.7,348.0,344.2,354.95,352.8,352.32,627.5,258.6,126285,44492401.3,6020,STANLEY
2025-03-25,EQ,358.0,358.95,332.05,352.8,335.0,336.4,342.19,627.5,258.6,152987,52350992.85,11152,STANLEY
2025-03-26,EQ,336.4,343.1,327.95,336.4,328.7,330.65,335.69,627.5,258.6,138231,46402531.85,7669,STANLEY
2025-03-27,EQ,330.0,335.05,312.55,330.65,312.55,322.2,326.72,627.5,258.6,174323,56955017.65,9888,STANLEY
2025-03-28,EQ,322.0,336.85,321.95,322.2,328.5,332.7,331.91,627.5,258.6,172341,57202233.2,8050,STANLEY
2025-04-01,EQ,332.65,340.0,326.95,332.7,340.0,333.1,332.13,627.5,258.6,47747,15858366.25,2759,STANLEY
2025-04-02,EQ,333.1,342.5,329.1,333.1,340.0,339.3,336.11,627.5,258.6,56279,18916200.4,3531,STANLEY
2025-04-03,EQ,336.0,344.55,335.1,339.3,336.35,336.65,338.96,627.5,258.6,50711,17189117.5,2773,STANLEY
2025-04-04,EQ,341.65,341.65,324.95,336.65,331.95,328.55,330.51,627.5,258.6,64768,21406218.95,3203,STANLEY
2025-04-07,EQ,309.95,313.35,295.0,328.55,308.0,305.7,305.25,627.5,258.6,64581,19713240.85,5634,STANLEY
2025-04-08,EQ,310.3,323.7,304.95,305.7,309.75,308.1,309.28,627.5,258.6,47537,14702383.55,3980,STANLEY
2025-04-09,EQ,308.1,309.95,298.0,308.1,302.0,301.8,301.75,627.5,258.6,23578,7114740.15,2141,STANLEY
2025-04-11,EQ,309.7,312.7,301.35,301.8,306.0,305.0,306.2,627.5,258.6,54412,16660744.85,4180,STANLEY
2025-04-15,EQ,308.9,326.4,308.9,305.0,320.0,319.65,319.99,627.5,258.6,50556,16177462.7,4551,STANLEY
2025-04-16,EQ,320.0,328.7,318.75,319.65,320.0,320.35,322.69,627.5,258.6,51687,16679002.6,5323,STANLEY
2025-04-17,EQ,320.3,326.55,317.05,320.35,322.4,321.2,321.46,627.5,258.6,35772,11499097.8,3187,STANLEY
2025-04-21,EQ,326.0,327.5,321.7,321.2,323.4,323.8,323.86,627.5,258.6,27087,8772422.4,2829,STANLEY
2025-04-22,EQ,323.4,336.8,323.4,323.8,329.35,328.3,329.97,627.5,258.6,67975,22429857.8,3819,STANLEY
2025-04-23,EQ,334.7,334.7,321.5,328.3,330.0,327.45,326.53,627.5,258.6,42781,13969409.8,3037,STANLEY
2025-04-24,EQ,327.45,333.0,322.5,327.45,326.95,323.9,328.06,627.5,258.6,49314,16177956.8,2981,STANLEY
2025-04-25,EQ,325.85,328.95,309.0,323.9,314.2,313.45,314.76,627.5,258.6,56959,17928686.25,4271,STANLEY
2025-04-28,EQ,313.1,318.0,307.55,313.45,308.0,308.45,311.41,627.5,258.6,40757,12692327.65,3061,STANLEY
2025-04-29,EQ,311.0,324.85,308.75,308.45,312.25,311.7,315.14,627.5,258.6,47393,14935332.2,2973,STANLEY
2025-04-30,EQ,311.7,315.45,301.35,311.7,302.0,305.55,308.82,627.5,258.6,36107,11150648.5,2913,STANLEY
2025-05-02,EQ,302.0,305.0,295.35,305.55,298.0,298.4,300.81,627.5,258.6,51714,15556160.4,3893,STANLEY
2025-05-05,EQ,304.0,314.8,295.35,298.4,309.9,307.35,301.09,627.5,258.6,79755,24013782.85,4749,STANLEY
2025-05-06,EQ,307.05,314.6,300.0,307.35,302.1,309.55,310.23,627.5,258.6,77656,24091244.1,3591,STANLEY
2025-05-07,EQ,305.0,313.0,300.25,309.55,309.75,312.0,307.15,627.5,258.6,68647,21084678.85,4845,STANLEY
2025-05-08,EQ,316.7,324.85,310.55,312.0,311.0,313.35,319.63,627.5,258.6,65916,21068724.0,4223,STANLEY
